楽曲ID,難易度ID,ID_DifN,ノーツ数,譜面再生時間,累計基礎係数,s1係数,s2係数,s3係数,s4係数,s5係数,s6係数,s外係数,s6前s外係数,s1始点,s1終点,s2始点,s2終点,s3始点,s3終点,s4始点,s4終点,s5始点,s5終点,s6始点,s6終点,SF始点,SF終点,平均スコア,最小スコア,最大スコア,s6前スコア,ポイント
1,1,1_1,220,121.6,106.3,2,3.7,5,2.9,7.575,2.424,95.39,87.445,17,18,24,33,56,60,75,85,128,132,177,200,124,145,2787000.146,2768472.338,2800590.682,2541964.849,327.112951
1,2,1_2,492,121.6,249.1,8.4,7.6,9.292,8.568,19.956,3.224,206.486,198.894,25,36,60,72,116,135,202,221,278,308,428,455,267,314,2786187.856,2766149.03,2794901.43,2662488.206,327.0584798
1,3,1_3,719,121.6,497.3,13.1,14.039,29.988,13.184,56.784,5.3,419.641,406.44,69,91,156,177,231,259,342,369,446,477,624,673,428,497,3112329.689,3073947.499,3130815.723,3005134.773,348.9291674
1,4,1_4,961,121.6,686.9,20.01,23.764,44.29,22.568,69.324,23.3,566.221,546.968,64,101,187,222,309,343,446,489,630,668,874,917,607,702,3347844.6,3316636.09,3365104.693,3091303.434,364.7225202
1,5,1_5,1147,121.6,795.1,24.33,26.305,38.439,28.35,68.8845,33.66,672.6725,643.3025,79,122,199,240,355,402,541,592,753,802,1029,1076,720,834,3322392.437,3297775.599,3334701.098,2992984.752,363.0157282
1,6,1_6,1353,121.6,642.7,16.326,18.643,36.636,23.824,48.708,49.28,548.064,520.564,177,229,319,373,477,531,681,757,900,938,1200,1267,875,1009,3471486.573,3450564.274,3486033.16,2918410.202,373.0138055
2,1,2_1,166,102.4,89.3,3,3,4.4,5.1,6.06,3.535,74.259,67.29,4,6,19,21,30,46,51,65,109,112,144,151,105,120,3051308.618,3038975.498,3061820.544,2702109.997,329.712729
2,2,2_2,296,102.4,242.4,9.1,11,10.7,12.423,18.18,9.18,190.664,171.692,9,18,37,47,75,91,104,118,168,179,256,264,159,187,3097434.44,3083443.79,3105961.417,2751022.495,332.6702082
2,3,2_3,635,102.4,495.8,19.3,25.5,17.564,21.114,56.91,25.515,383.2945,333.9235,24,45,82,110,182,210,258,293,399,427,563,589,379,440,3424348.494,3391022.564,3439700.087,2950970.603,353.6311682
2,4,2_4,827,102.4,686.1,29.2,40.4,30.6,40.582,69.435,41.302,509.547,449.427,24,63,138,177,249,296,345,379,490,528,730,770,466,547,3681408.748,3657531.576,3695585.279,3158050.145,370.1132668
2,5,2_5,975,102.4,909,40.6,44.44,47.004,46.904,87.354,47.25,692.373,628.41,23,68,141,184,275,336,408,448,568,618,872,917,536,632,3656759.327,3634657.493,3667081.153,3203666.321,368.5328039
2,6,2_6,1040,102.4,940.3,33.7,47.209,66.29,27.664,62.805,38.477,768.8485,688.3045,33,84,155,204,296,360,421,474,606,652,906,955,567,671,3410918.95,3395799.697,3426507.464,3003860.7,352.7700974
3,1,3_1,135,111.56757,98.5,3,3.7,3,3.7,4.5,4.141,85.156,77.48,10,12,19,28,45,47,54,63,86,88,110,123,82,94,2798431.028,2792957.946,2802685.743,2431681.919,322.1272206
3,2,3_2,477,111.56757,379.5,13,13,11.716,15.15,35.19,11.617,309.354,280.66,43,55,75,87,117,133,157,171,247,269,388,427,234,278,3016336.379,2990544.121,3027291.459,2712384.771,336.4833379
3,3,3_3,681,111.56757,628.9,32,22.523,31.008,26.734,80.5655,20.521,462.762,416.142,61,91,130,154,206,238,275,301,396,452,596,639,373,440,3422496.074,3384600.673,3440728.844,3101405.122,363.2420943
3,4,3_4,997,111.56757,922.6,43.13,39.954,47.792,42.12,76.426,26.968,726.0585,649.7785,71,113,174,216,303,351,411,455,604,668,877,929,567,664,3381328.924,3364013.076,3389391.199,3055120.709,360.5299055
3,5,3_5,1221,111.56757,1161,51.38,42.534,70.882,52.5,110.682,67.1,896.694,803.194,88,138,219,265,373,443,523,580,771,840,1079,1139,734,854,3692300.21,3667068.206,3706939.416,3177761.206,381.0174256
6,1,6_1,198,93.6,110.2,4.1,4,4,7.7,11.6655,8.08,78.051,70.88,8,12,34,37,46,49,59,71,118,130,175,182,114,131,3339392.541,3309818.824,3354428.119,2811036.429,335.4065981
6,2,6_2,394,93.6,275.5,17,10.3,10.302,14.948,25.704,17.922,195.853,185.45,22,38,71,83,114,134,148,178,257,292,355,375,245,283,3363995.39,3342066.431,3378372.006,2915877.481,336.9261858
6,3,6_3,568,93.6,524.2,32,30.3,31.008,29.072,47.2215,36.707,359.704,341.034,42,72,122,149,201,231,267,302,397,425,494,536,385,440,3672134.819,3657686.229,3678759.397,3186515.083,355.9583271
6,4,6_4,808,93.6,788.8,40.01,39.652,40.981,45.94,79.3065,54.57,563.188,530.857,63,101,178,216,297,341,386,428,571,615,729,776,554,633,3787888.916,3764982.99,3797349.759,3277983.359,363.1078448
6,5,6_5,1060,93.6,1005.1,57.824,39.882,56.976,54.316,102.399,73.556,726.764,681.264,86,145,234,272,358,411,456,513,726,788,942,1007,701,806,3882769.475,3858427.362,3898176.253,3330353.776,368.9681147
6,6,6_6,1351,93.6,1533.3,87.152,82.217,80.725,85.496,142.2945,155.1,1075.328,969.948,140,206,297,355,487,565,633,706,941,1016,1219,1291,916,1050,4072008.941,4053636.666,4079694.038,3290869.226,380.6564346
8,1,8_1,193,120,79.7,2.5,2,2,2.7,8.181,2.02,68.018,57.413,24,30,46,47,61,62,75,83,106,114,142,143,104,122,2855144.394,2823761.077,2868330.953,2504067,331.682624
8,2,8_2,268,120,157.9,8,5,5,5.125,13.635,10.344,124.084,102.98,18,25,44,48,71,75,93,107,145,153,195,206,142,166,3137872.373,3114499.48,3148740.907,2541396.882,350.6420297
8,3,8_3,488,120,434.2,22,16.362,20.604,17.544,20.5485,20.384,347.945,292.721,73,94,143,160,205,226,266,284,349,364,411,435,345,392,3068441.304,3064508.579,3073248.283,2579591.45,345.9860639
8,4,8_4,719,120,639,28.583,27.102,28.016,27.517,31.0275,26.182,521.6915,452.3105,105,135,198,229,304,332,394,424,508,533,623,653,501,572,3148101.407,3145627.865,3149620.201,2711364.887,351.3279767
8,5,8_5,903,120,799.7,35.552,29.376,38.661,34.715,53.265,41.32,639.7695,557.3635,131,176,264,299,387,426,497,530,640,677,784,825,631,720,3350346.542,3338767.1,3357993.607,2847402.03,364.8902975
10,1,10_1,127,126.61417,87.8,2,2,3.1,5.3,2,7.5,73.049,53.5,6,7,14,15,23,35,58,65,77,78,95,98,90,101,2855692.92,2839947.981,2862828.557,2021926.834,337.5390463
10,2,10_2,437,126.61417,342,15,13,6.161,16.463,12.648,31.3635,274.172,205.603,21,35,67,79,119,143,179,197,227,242,338,359,323,365,3035591.65,3028144.598,3046436.545,2179349.99,349.814489
10,3,10_3,685,126.61417,661.3,24,21.311,29.662,28.178,24.102,61.425,531.132,409.01,59,82,133,154,199,227,277,308,359,385,518,557,491,558,3188807.775,3184371.236,3192863.547,2322269.261,360.2692364
10,4,10_4,859,126.61417,853.8,29,30.401,35.802,44.805,35.568,77.832,685.993,531.444,66,94,167,197,256,290,353,394,458,491,669,710,641,725,3347099.883,3340074.604,3352378.985,2473084.944,371.0703449
10,5,10_5,1136,126.61417,1041.5,38.07,31.142,38.316,51.604,48.078,92.175,855.578,666.773,70,107,194,229,314,369,455,501,570,626,855,914,813,925,3377215.134,3370089.672,3383884.374,2503658.027,373.125268
